FECHA DE LA INSPECCIÓN;DISTRITO;DIRECCIÓN;MOTIVO;EPÍGRAFE DE ACTIVIDAD;PROGRAMA
16/02/2021;RETIRO;CL SANCHEZ BARCAIZTEGUI 7;NO PROGRAMADA;472401 - COMERCIO MENOR PAN Y PRODUC.PANADERIA Y BOLLERIA CON OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
02/03/2021;RETIRO;CL SANCHEZ BARCAIZTEGUI 7;NO PROGRAMADA;472401 - COMERCIO MENOR PAN Y PRODUC.PANADERIA Y BOLLERIA CON OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
23/02/2021;RETIRO;CL VALDERRIBAS 30;NO PROGRAMADA;472202 - COMERCIO AL POR MENOR DE CHARCUTERIA;COMERCIO MINORISTA ALIMENTACIÓN
21/07/2021;RETIRO;CL VALDERRIBAS 30;NO PROGRAMADA;472202 - COMERCIO AL POR MENOR DE CHARCUTERIA;COMERCIO MINORISTA ALIMENTACIÓN
01/06/2021;RETIRO;CL VALDERRIBAS 30;NO PROGRAMADA;472206 - COMERCIO AL POR MENOR DE AVES, HUEVOS Y CAZA SIN OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
03/02/2021;RETIRO;CL VALDERRIBAS 30;NO PROGRAMADA;472201 - COMERCIO AL POR MENOR DE CARNICERIA;COMERCIO MINORISTA ALIMENTACIÓN
27/04/2021;RETIRO;CL VALDERRIBAS 30;NO PROGRAMADA;472201 - COMERCIO AL POR MENOR DE CARNICERIA;COMERCIO MINORISTA ALIMENTACIÓN
02/03/2021;RETIRO;CL VALDERRIBAS 30;NO PROGRAMADA;472206 - COMERCIO AL POR MENOR DE AVES, HUEVOS Y CAZA SIN OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
21/07/2021;RETIRO;CL VALDERRIBAS 30;NO PROGRAMADA;472206 - COMERCIO AL POR MENOR DE AVES, HUEVOS Y CAZA SIN OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
23/02/2021;RETIRO;CL VALDERRIBAS 30;NO PROGRAMADA;472206 - COMERCIO AL POR MENOR DE AVES, HUEVOS Y CAZA SIN OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
27/04/2021;RETIRO;CL VALDERRIBAS 30;NO PROGRAMADA;472206 - COMERCIO AL POR MENOR DE AVES, HUEVOS Y CAZA SIN OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
23/06/2021;RETIRO;CL VALDERRIBAS 30;NO PROGRAMADA;472102 - COMERCIO AL POR MENOR DE FRUTAS Y HORTALIZAS SIN OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
13/04/2021;RETIRO;CL VALDERRIBAS 30;NO PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
24/03/2021;RETIRO;CL GRANADA 44;NO PROGRAMADA;472502 - COMERCIO MENOR VINOS Y ALCOHOLES (BODEGA) SIN CONSUMO;COMERCIO MINORISTA ALIMENTACIÓN
01/06/2021;RETIRO;CL GRANADA 44;NO PROGRAMADA;472502 - COMERCIO MENOR VINOS Y ALCOHOLES (BODEGA) SIN CONSUMO;COMERCIO MINORISTA ALIMENTACIÓN
18/01/2021;RETIRO;AV CIUDAD DE BARCELONA 77;NO PROGRAMADA;561005 - BAR CON COCINA;RESTAURACIÓN COLECTIVA
